sentiment,content
angry,wtf is this
angry,nah fam
angry,bruh seriously?
angry,smh can't even
angry,tf outta here
angry,lowkey pissed
angry,done with this
angry,nah not today
angry,rip patience
angry,deadass mad
angry,"fr bro, stop"
angry,"yikes, no cap"
angry,nah tf
angry,bruh vibes ruined
angry,based? nah ew
angry,wtf bro
angry,skibidi nope
angry,nah tf man
angry,rip tf out
angry,lowkey over this
angry,sus energy
angry,nah yikes
angry,idk how tf
angry,rip no chill
angry,smh bruh
angry,deadass tf
angry,fr bro tf
angry,nah nah nah
angry,sus bro vibes
angry,tf nah rip
angry,based no thanks
angry,lowkey tf stop
angry,nah I'm done
angry,rip nah tf
angry,nah fr chill
angry,based ew vibes
angry,wtf sus bro
angry,yikes lowkey bad
angry,nah tf dude
angry,idk mad lowkey
angry,smh tf rip
angry,nah stop bro
angry,deadass tf nah
angry,bruh what
angry,rip patience vibes
angry,sus af bro
angry,nah tf stop
angry,wtf nah bro
angry,based rip nah
angry,nah sus bro
angry,skibidi tf no
angry,nah lowkey mad
angry,fr rip bro
angry,idk tf nah
angry,lowkey yikes man
angry,nah nah dude
angry,based nah mad
angry,wtf lowkey rip
angry,nah tf ew vibes
angry,idk man stop
angry,rip tf outta here
angry,nah bruh vibes
angry,tf skibidi bro
angry,fr nah vibes
angry,based tf dude
angry,nah nah ew stop
angry,wtf rip stop
angry,idk tf skibidi
angry,nah dude bruh
angry,smh rip tf
angry,based nah rip vibes
angry,wtf lowkey no
angry,lowkey nah stop
angry,sus tf nah vibes
angry,idk bro nah tf
angry,rip nah nah bro
angry,fr dude stop
angry,skibidi tf nah vibes
angry,based bro nah tf
angry,nah nah tf man
angry,lowkey bro nah rip
angry,smh tf nah rip
angry,wtf nah lowkey vibes
angry,nah stop rip tf
angry,lowkey yikes nah bro
boredom,meh vibes
boredom,idk what to do
boredom,"bruh, nothing happening"
boredom,lowkey bored
boredom,tf do I do
boredom,rip boredom
boredom,same old same old
boredom,"nah, just bored"
boredom,skibidi meh
boredom,"wtf, so bored"
boredom,deadass doing nothing
boredom,fr meh
boredom,rip time
boredom,lowkey dead vibes
boredom,"nah bro, boring"
boredom,same vibes every day
boredom,"cap, nothing fun"
boredom,sus vibes of boredom
boredom,meh tf
boredom,rip fun
boredom,"nah, just meh"
boredom,lowkey meh rn
boredom,deadass nothing to do
boredom,fr bored vibes
boredom,"nah nah, still bored"
boredom,wtf nothing
boredom,rip mood
boredom,meh bro
boredom,based on boredom
boredom,tf even is this
boredom,nah rip vibes
boredom,"bruh, bored tf out"
boredom,meh same
boredom,lowkey stuck in meh
boredom,sus vibes rn
boredom,deadass meh bro
boredom,skibidi no fun
boredom,"wtf, bored lol"
boredom,nah tf is this
boredom,"idk, just vibes"
boredom,"rip bro, bored"
boredom,fr stuck here
boredom,cap nothing happening
boredom,meh bored vibes
boredom,same tf every day
boredom,nah rip meh
boredom,tf bored man
boredom,skibidi boring
boredom,lowkey no mood
boredom,rip tf bored
boredom,nah lol same
boredom,meh stuck vibes
boredom,"idk, same meh"
boredom,deadass same mood
boredom,lowkey boring af
boredom,nah tf lol
boredom,meh no cap
boredom,based vibes of meh
boredom,same old tf
boredom,wtf no fun
boredom,sus bored vibes
boredom,rip tf rn
boredom,nah tf every day
boredom,meh bruh lol
boredom,deadass cap vibes
boredom,"lowkey, no tf"
boredom,same rip tf
boredom,nah vibes no
boredom,based boredom lol
boredom,wtf nothing fun
boredom,meh sus rn
boredom,skibidi meh lol
boredom,nah tf meh vibes
boredom,idk nothing
boredom,lowkey tf stuck
boredom,rip tf out
boredom,same lol bored
boredom,wtf tf nothing
boredom,nah vibes bored
boredom,meh nah rn
boredom,sus tf bored
boredom,based rip vibes
boredom,nah stuck tf
boredom,deadass rip rn
boredom,meh stuck lol
boredom,same tf lol
boredom,"wtf, bored bruh"
disappointment,smh can't believe this
disappointment,nah bro fr?
disappointment,rip my hopes
disappointment,idk what I expected
disappointment,lowkey let down
disappointment,tf is this nonsense
disappointment,nah vibes ruined
disappointment,skibidi no thanks
disappointment,deadass upset
disappointment,fr what a letdown
disappointment,"meh, expected better"
disappointment,sus outcome ngl
disappointment,"nah not even mad, just disappointed"
disappointment,rip dreams
disappointment,"yikes, no cap"
disappointment,"bruh, for real?"
disappointment,nah tf happened
disappointment,"idk bro, just sad"
disappointment,based on nothing
disappointment,tf did I even expect
disappointment,lowkey hurt vibes
disappointment,"nah fam, that's rough"
disappointment,wtf no way
disappointment,nah vibes bad
disappointment,rip to my expectations
disappointment,"nah bro, can't even"
disappointment,sus vibes bro
disappointment,"bruh nah, smh"
disappointment,rip the dream
disappointment,nah fr sad
disappointment,lowkey wanted more
disappointment,"wtf, disappointed af"
disappointment,nah tf man
